Rk,Player,WAR,From,To,Age,G,PA,AB,R,H,1B,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GIDP,HBP,SH,SF,IBB,WAR,WAA,oWAR,dWAR,Rbat,Rdp,Rbaser,Rbaser + Rdp,Rfield,Pos,Team,Player-additional
1,Mike Trout,86.3,2011,2024,19-32,1511,6617,5488,1120,1645,904,311,54,376,951,211,37,973,1477,0.3,0.411,0.582,0.992,173,3192,68,100,0,55,120,86.3,64.4,86.3,2.9,562,9,36,45,-4,*87D9H,LAA,troutmi01
2,Mookie Betts,67,2014,2024,21-31,1289,5870,5137,1020,1518,872,353,35,258,775,177,37,634,813,0.296,0.375,0.529,0.904,139,2715,62,48,4,47,31,67,48.6,50.6,14.3,295,6,40,46,156,*9846HD,BOSLAD,bettsmo01
3,Joey Votto,64.5,2007,2023,23-39,2056,8746,7252,1171,2135,1298,459,22,356,1144,80,29,1365,1640,0.294,0.409,0.511,0.92,144,3706,168,81,0,48,147,64.5,37.7,59.6,-7,473,-5,-32,-37,49,*3DH/7,CIN,vottojo01
4,Paul Goldschmidt,61.1,2011,2024,23-36,1795,7730,6598,1140,1923,1147,413,22,341,1130,158,35,1014,1732,0.291,0.387,0.516,0.903,141,3403,149,48,0,53,115,61.1,37.3,55.4,-4.6,391,-12,27,16,59,*3DH,ARISTL,goldspa01
5,Nolan Arenado,54.7,2013,2024,22-33,1550,6538,5914,881,1694,965,370,33,326,1072,26,22,511,965,0.286,0.343,0.526,0.869,122,3108,179,36,5,71,74,54.7,34,38.5,19.4,169,-19,0,-20,158,*5DH,COLSTL,arenano01
6,Manny Machado,55,2012,2024,19-31,1607,6979,6312,929,1762,1091,336,18,317,956,88,36,572,1202,0.279,0.339,0.489,0.828,125,3085,187,26,14,55,63,55,32.1,45.3,13.8,198,-18,-1,-19,90,*56DH,BALLADSDP,machama01
7,Freddie Freeman,56.2,2010,2024,20-34,1909,8204,7103,1229,2139,1309,479,29,322,1156,90,28,947,1555,0.301,0.388,0.513,0.901,142,3642,149,100,0,54,127,56.2,31,56.6,-11,414,-4,3,-1,0,*3H5/D,ATLLAD,freemfr01
8,Aaron Judge,41.8,2016,2024,24-32,857,3719,3087,621,861,455,142,4,260,583,44,16,577,1067,0.279,0.394,0.58,0.974,162,1791,83,24,0,25,49,41.8,29.6,35.6,3.3,271,-9,-1,-11,59,98DH,NYY,judgeaa01
9,José Ramírez,45.9,2013,2024,20-31,1314,5499,4849,799,1349,762,329,39,219,764,203,48,548,658,0.278,0.353,0.498,0.85,128,2413,71,36,19,47,77,45.9,27.6,42.9,5.7,171,12,33,45,26,546D7H,CLE,ramirjo01
10,Jose Altuve,50.7,2011,2024,21-34,1691,7465,6759,1078,2080,1427,408,31,214,754,296,84,563,927,0.308,0.365,0.472,0.837,130,3192,182,70,26,47,43,50.7,26.6,57.4,-1.7,266,-6,14,8,-70,*4DH/6,HOU,altuvjo01
11,Carlos Correa,41.1,2015,2024,20-29,1034,4437,3896,573,1062,660,217,11,174,622,33,9,475,921,0.273,0.352,0.468,0.82,125,1823,127,26,0,40,24,41.1,26.3,34.2,13,142,-10,-2,-12,66,*6/DH,HOUMIN,correca01
12,Bryce Harper,46.7,2012,2024,19-31,1529,6545,5463,1007,1532,867,331,24,310,903,134,48,970,1416,0.28,0.39,0.52,0.91,142,2841,122,44,12,56,122,46.7,26.2,45.7,-5.3,313,-2,0,-2,13,*9D783H,PHIWSN,harpebr03
13,Francisco Lindor,42.6,2015,2024,21-30,1244,5524,4909,798,1339,829,268,25,217,685,157,43,476,874,0.273,0.34,0.47,0.81,116,2308,95,54,31,54,34,42.6,24.8,37.7,12.1,105,4,15,19,45,*6D/H,CLENYM,lindofr01
14,Marcus Semien,43,2013,2024,22-33,1366,5927,5342,823,1378,840,286,33,219,683,121,36,526,1118,0.258,0.325,0.447,0.772,111,2387,88,19,7,32,6,43,23.9,37.7,12.1,97,1,18,19,48,645H/D,CHWOAKTEXTOR,semiema01
15,Giancarlo Stanton,44.2,2010,2024,20-34,1553,6509,5674,868,1469,763,288,11,407,1041,42,15,744,1841,0.259,0.348,0.529,0.877,137,3000,138,51,0,37,86,44.2,23.7,39.2,-3.4,273,-9,-5,-14,45,9D7H/8,FLAMIANYY,stantmi03
16,Kevin Kiermaier,35.6,2013,2024,23-34,1063,3818,3478,473,865,554,164,57,90,356,128,37,269,840,0.249,0.308,0.406,0.715,98,1413,49,39,15,17,12,35.6,22.6,17.8,20.1,-13,17,17,34,166,89H/D7,TBRTOR,kiermke01
